order_id,review_id,Sum of review_score
00010242fe8c5a6d1ba2dd792cb16214,97ca439bc427b48bc1cd7177abe71365,5
00018f77f2f0320c557190d7a144bdd3,7b07bacd811c4117b742569b04ce3580,4
000229ec398224ef6ca0657da4fc703e,0c5b33dea94867d1ac402749e5438e8b,5
00024acbcdf0a6daa1e931b038114c75,f4028d019cb58564807486a6aaf33817,4
00042b26cf59d7ce69dfabb4e55b4fd9,940144190dcba6351888cafa43f3a3a5,5
00048cc3ae777c65dbb7d2a0634bc1ea,5e4e50af3b7960b7a10d86ec869509e8,4
00054e8431b9d7675808bcb819fb4a32,0381de7572d99d75230ce91207807265,4
000576fe39319847cbb9d288c5617fa6,f0733ebeb51b637dfdc953983c867b89,5
0005a1a1728c9d785b8e2b08b904576c,67b1ab8f3ec19d5a90f153f21757d3a1,1
0005f50442cb953dcd1d21e1fb923495,5c0b7e34ed85ec659bb064902d878e7a,4
00061f2a7bc09da83e415a52dc8a4af1,7e92c32ae297ef950ee69781d9f1760c,5
00063b381e2406b52ad429470734ebd5,5595c192e3c1566ab4e7a2748b8ed297,5
0006ec9db01a64e59a68b2c340bf65a7,6322c405c0f34bf3ad870fd1a6b1fced,5
0008288aa423d2a3f00fcb17cd7d8719,5505c1cce299b1e0b3f8e4b428417362,5
0009792311464db532ff765bf7b182ae,236ccf78a5c4c350c18fdc1ae12b0187,5
0009c9a17f916a706d71784483a5d643,787a452b54147f8f64737b1e040234af,4
000aed2e25dbad2f9ddb70584c5a2ded,00800678dcf28b0ea0caef2147b6945d,1
000c3e6612759851cc3cbb4b83257986,51b9186876d4708a91786f8517fe7106,5
000e562887b1f2006d75e0be9558292e,3b9a423bdbe8734ddfeb09bced16e5d9,3
000e63d38ae8c00bbcb5a30573b99628,06f45fcd8b9b54c30b0de110eb849228,3
000e906b789b55f64edcb1f84030f90d,a5fb93d6a9e707bd84c07da74e8d79fd,3
000f25f4d72195062c040b12dce9a18a,775038877f3c507777081ff685e14a60,4
001021efaa8636c29475e7734483457d,fa2d523cc60173d4889520763a2e4851,4
0010b2e5201cc5f1ae7e9c6cc8f5bd00,f55e59915a07435c3615737a15470d96,5
0010dedd556712d7bb69a19cb7bbd37a,d5d01007883616401b65674911160c82,1
00119ff934e539cf26f92b9ef0cdfed8,e79b1300216401c0212ab9b5a66372ff,5
0011d82c4b53e22e84023405fb467e57,04a15fdeccc0572ca4f52b16cd50408a,4
00125cb692d04887809806618a2a145f,08af1a16cca5edd546f4a10b6e87af2e,5
