City,customer_id,customer_zip_code_prefix,State,Unique_Customer_ID
abadia dos dourados,9e01f714a2b3b8962c222cf2b74c20dc,38540,MG,e1feae9083c4c2895ddf6dc80526a85d
abadia dos dourados,a23e3f9a2b656b23b7e52075964b42cd,38540,MG,afddf43a03a9941624ed42c0b2c17280
abadia dos dourados,f11eb8f0b8b87510a93e3e1aa10b0ade,38540,MG,64ee476500a01beb94df40f97a108c50
abadiania,576d71ddb21b21763cfedce73b902180,72940,GO,8d76b559181609308fcae630ea64cd61
abaete,08528824266cd0720658ff01df662b6a,35620,MG,8f7f547488a05660770b51be707eb2a3
abaete,225634426cfd64638ae97bf60e190f5b,35620,MG,ca1a0307fe782c9125fd9264c92db778
abaete,24d97ea7bb12a40f87d701e17017d282,35620,MG,5bd046eccd966d97c4fe06e8d75a64a7
abaete,2bf14bf7a1f0610883d264cae6bc4de6,35620,MG,1605eaf5744972f09529a6ce287e9e47
abaete,3c46a6771b9833c7571cd2498f548f95,35620,MG,2a19a29632faf108fd680a976034fa3d
abaete,5371894984937a27cf40c7d20699a786,35620,MG,2d69de392ffdb5def80917230154351d
abaete,5e9e1ae42e02df93e9a591e86fd531a3,35620,MG,28af9604f7830ef6d1230fb575c39eb1
abaete,962b41ee521809e7435fdac0d93063a9,35620,MG,8b8545eb716cbef0248f0546f3335c1c
abaete,a3d3c38e58b9d2dfb9207cab690b6310,35620,MG,5a4fa4919cbf2b049e72be460a380e5b
abaete,d47c8bb51df6f716e196ecd6cd5d2c09,35620,MG,189af2582a09a860e7ebebaec950b0af
abaete,e67618ef4120e6f73c343ef079dc405e,35620,MG,a0e363eb99ec5c321d26ef6618308918
abaete,ff0d62f8be4c098e6306f39bc6ebded4,35620,MG,ab26557b289641b505abd795c0913683
abaetetuba,305f736d2711641a06f6a9c9bd837b00,68440,PA,adc650abc7894831caafbf528540e9ea
abaetetuba,367fd22f1e994de87cf447d29c167a1f,68440,PA,9811f75e58306711797259182809ba81
abaetetuba,3c12346ea1f05ce151ba3029c1cbf60d,68440,PA,9bf9e8c962ab8bce4daf3ec7d0a59e13
abaetetuba,3f6cd3d8326965c0d9cc53a851559a0e,68440,PA,c86ac97751bb46bf642e75bf8455f199
abaetetuba,7727e2cc9ec428ad3173cc812ce1781b,68440,PA,863bdd77d135015fc5c250a5255864a6
abaetetuba,91c613027d3cd07c35a73748df503df4,68440,PA,09b12abeaeb6d87e19039e1970f3ff1e
abaetetuba,987b15cf895b62d1fe337652f44f802f,68440,PA,5ecc0af8adb07684da096d602bdec28c
